"","common.name","scientific.name","image.lookup.text"
"436","hot pepper","Capsicum frutescens","Capsicum frutescens"
"437","downy thornapple","Datura inoxia","Datura inoxia"
"438","common thornapple","Datura stramonium","Datura stramonium"
"439","black henbane","Hyoscyamus niger","Hyoscyamus niger"
"440","chupa miele","Hyoscyamus niger","Hyoscyamus niger"
"441","hog's-bean","Hyoscyamus niger","Hyoscyamus niger"
"442","stinking-nightshade","Hyoscyamus niger","Hyoscyamus niger"
"443","tian xian zi","Hyoscyamus niger","Hyoscyamus niger"
"444","Peruvian tomato","Solanum peruvianum","Solanum peruvianum"
"445","currant tomato","Solanum pimpinellifolium","Solanum pimpinellifolium"
"446","flowering tobacco","Nicotiana alata","Nicotiana alata"
"447","Indian tobacco","Nicotiana alata","Nicotiana alata"
"448","ornamental tobacco","Nicotiana alata","Nicotiana alata"
"449","winged tobacco","Nicotiana alata","Nicotiana alata"
"450","glaucous tobacco","Nicotiana glauca","Nicotiana glauca"
"451","leadwort-leaved tobacco","Nicotiana plumbaginifolia","Nicotiana plumbaginifolia"
"452","wild tobacco","Nicotiana rustica","Nicotiana rustica"
"453","American tobacco","Nicotiana tabacum","Nicotiana tabacum"
"454","tobacco","Nicotiana tabacum","Nicotiana tabacum"
"455","petunia","Petunia","Petunia"
"456","garden petunia","Petunia x hybrida","Petunia x hybrida"
"457","violet-flowered petunia","Petunia integrifolia","Petunia integrifolia"
"458","aubergine","Solanum melongena","Solanum melongena"
"459","brinjal","Solanum melongena","Solanum melongena"
"460","potato","Solanum tuberosum","Solanum tuberosum"
"461","morning-glory family","Convolvulaceae","Convolvulaceae"
"462","batate","Ipomoea batatas","Ipomoea batatas"
